cellID,p1,p2,p3,p4
0,0,1,11,10
1,1,2,12,11
2,2,3,13,12
3,3,4,14,13
4,4,5,15,14
5,5,6,16,15
6,6,7,17,16
7,7,8,18,17
8,8,9,19,18
9,10,11,21,20
10,11,12,22,21
11,12,13,23,22
12,13,14,24,23
13,14,15,25,24
14,15,16,26,25
15,16,17,27,26
16,17,18,28,27
17,18,19,29,28
18,20,21,31,30
19,21,22,32,31
20,22,23,33,32
21,23,24,34,33
22,24,25,35,34
23,25,26,36,35
24,26,27,37,36
25,27,28,38,37
26,28,29,39,38
27,30,31,41,40
28,31,32,42,41
29,32,33,43,42
30,33,34,44,43
31,34,35,45,44
32,35,36,46,45
33,36,37,47,46
34,37,38,48,47
35,38,39,49,48
36,40,41,51,50
37,41,42,52,51
38,42,43,53,52
39,43,44,54,53
40,44,45,55,54
41,45,46,56,55
42,46,47,57,56
43,47,48,58,57
44,48,49,59,58
45,50,51,61,60
46,51,52,62,61
47,52,53,63,62
48,53,54,64,63
49,54,55,65,64
50,55,56,66,65
51,56,57,67,66
52,57,58,68,67
53,58,59,69,68
54,60,61,71,70
55,61,62,72,71
56,62,63,73,72
57,63,64,74,73
58,64,65,75,74
59,65,66,76,75
60,66,67,77,76
61,67,68,78,77
62,68,69,79,78
63,70,71,81,80
64,71,72,82,81
65,72,73,83,82
66,73,74,84,83
67,74,75,85,84
68,75,76,86,85
69,76,77,87,86
70,77,78,88,87
71,78,79,89,88
72,80,81,91,90
73,81,82,92,91
74,82,83,93,92
75,83,84,94,93
76,84,85,95,94
77,85,86,96,95
78,86,87,97,96
79,87,88,98,97
80,88,89,99,98
